Question,Answer
Apa persyaratan pindah kantor bayar,"persyaratan pindah kantor bayar
1.Formulir Pengajuan (terlampir)     
2.Fotocopy Skep Pensiun       
3.Fotocopy Buku / Kartu Pensiun       
4.Fotocopy KTP alamat yang dituju / Surat Keterangan Pindah dari Catatan Sipil    
5.Fotocopy Buku Rek. Bank yang dituju     
6.Surat rekomendasi dari kantor bayar lama      
7.Menunjukkan ASLI Skep Pensiun kepada petugas"
Apa persyaratan alih status menjadi tidak menanggung,"persyaratan alih status menjadi tidak menanggung
1. Formulir Pengajuan (terlampir)  
2. ASLI surat keterangan / rekomendasi dari Instansi isteri
3. Fotocopy buku / kartu  pensiun      
4. Fotocopy Skep pensiun      
5. Fotocopy KTP "
Apa persyaratan Jaminan kematian JKM,"persyaratan Jaminan kematian JKM
1.Formulir Pengajuan Pembayaran (Terlampir)
2.Surat pengantar permohonan Uang Duka Wafat dari Satker       
3.Laporan kematian dari Satker kepada PDW         
4.Fotocopy surat  keterangan kematian dari Catatan Sipil yang dilegalisir
5.Fotocopy dilegalisir Slip Gaji Bentuk KU 107 pada bulan meninggal dunia    
6.Surat Keterangan ahliwaris diketahui oleh Ka. Satker (Terlampir)       
7.Asli Kartu Tanda Peserta ASABRI (KTPA) / surat keterangan hilang dari Kepolisian setempat
8.Fotocopy Skep Pengangkatan Pertama 
9.Fotocopy Surat Nikah 
10.KartuPetunjuk Isteri (KPI) 
11.Fotocopy KTP ahliwaris yang mengajukan permohonan yang masih berlaku 
12.Daftar Riwayat Hidup (Terlampir) diketahui Dansatminkal
13.Fotocopy Akte Lahir Anak-anak ybs dilegalisir Capil
14.Fotocopy KK Alm
Surat keterangan sekolah/kuliah anak yg masuk dalam tanggungan "
Apa persyaratan tabungan asuransi TA dan Pensiun pertama,"persyaratan tabungan asuransi TA dan Pensiun pertama
1.Formulir Pengajuan Pembayaran (Terlampir)
2.Asli Skep Pensiun Bentuk Piagam dan Asli Salinan SK Pensiun  
3.Fotocopy Skep Pengangkatan Pertama, dilegalisir Dansatminkal
4.Asli Surat Keterangan Pemberhentian Pembayaran (SKPP ) dari KPPN 
5.Fotocopy Kartu Tanda Peserta ASABRI ( KTPA ) 
6.Fotocopy KTP yang masih berlaku
7.Asli Riwayat Hidup Singkat ( RHS ) diketahui Komandan (Terlampir)
8.Fotocopy KK
9.Fotokopi NPWP
10.Fotocopy Surat Nikah & Kartu Petunjuk Isteri ( KPI ) 
11.Pasfoto Suami dan pasfoto Istri dg latar belakang biru, ukuran 4x6 cm (@ 4 lbr)
12.Asli Surat Keterangan Kuliah
13.Fotocopy Bintang Jasa Nararya"
Apa persyaratan Biaya pemakaman istri/ suami / anak peserta aktif,"persyaratan Biaya pemakaman istri/ suami / anak peserta aktif
1.Formulir Pengajuan (Terlampir) 
2.Fotocopy  Kartu Tanda Anggota/Kartu Pegawai          
3.Fotocopy surat  keterangan kematian dari Catatan Sipil yang dilegalisir 
4.Fotocopy Skep Pengangkatan Pertama dilegalisir Dansatminkal      
5.Fotocopy Daftar Tanggungan Keluarga (KU-01) 
6.Surat Keterangan Gaji (KU-107) pada saat bulan meninggal dari Juru Bayar   
7.Fotocopy kartu tanda peserta ASABRI (KTPA), 
Jika hilang/tidak ada Agar melampirkan surat ket. hilang dari Kepolisian setempat  
8.Fotocopy Surat nikah & KPI/Karis/Karsu
9.Fotocopy KTP 
Fotocopy KK Alm"
Apa persyaratan santunan cacat,"persyaratan santunan cacat
1.Formulir Pengajuan (Terlampir)
2.Fotocopy Skep Cacat dari Panglima / KAPOLRI 
3.Fotocopy Skep pengangkatan pertama 
4.Fotocopy Ku 107 bulan kejadian
5.Fotocopy Asli Kartu Tanda Peserta ASABRI ( KTPA ) 
6.Fotocopy KTP yang masih berlaku 
7.Fotocopy Riwayat Hidup Singkat ( RHS ) diketahui Komandan (Terlampir)
8.Fotocopy Surat Nikah & Kartu Petunjuk Isteri ( KPI ) 
9.Daftar Susunan keluarga (KU-I) dari Dansatminkal
10.Fotocopy KK"
Apa persyaratan santunan nilai tunai asuransi SNTA,"persyaratan santunan nilai tunai asuransi SNTA
1.Formulir Pengajuan Pembayaran, diketaui Ka. Satker (Terlampir)
2.Surat pengantar dari kesatuan
3.Asli Skep Pemberhentian 
4.Fotocopy Skep pengangkatan pertama 
5.Asli Surat Keterangan pemberhentian pembayaran ( SKPP ) dari KPPN
6.KU 107 (Daftar Gaji) di bulan diberhentikan
7.Asli Surat Keterangan keanggotaan dari Satker 
8.Asli Kartu Tanda Peserta ASABRI ( KTPA ) 
9.Fotocopy KTP yang masih berlaku 
10.Asli Riwayat Hidup Singkat ( RHS ) diketahui Komandan (Terlampir)
11.Fotocopy Surat Nikah & Kartu Petunjuk Isteri ( KPI ) 
12.Daftar Susunan keluarga (KU-I) dari Dansatminkal
13.Fotocopy KK
14.Foto sebadan ukuran postcard dengan latar belakang biru"
Apa persyaratan penggantian ktpa karena hilang," persyaratan penggantian ktpa karena hilang
1.Formulir Pengajuan (terlampir)
2.Fotocopy Surat keputusan pengangkatan pertama dilegalisir kesatuan 
3.Asli Surat Keterangan Hilang dari kepolisian setempat
4.Fotocopy Kartu Tanda Peserta ASABRI"
Apa persyaratan pengajuan KTPA baru,"persyaratan pengajuan KTPA baru
1.Formulir Pengajuan (Terlampir)
2.Fotokopi Skep Pengangkatan pertama legalisir kesatuan
3.Fotocopy Akte Kelahiran"
Apa persyaratan jaminan kecelakaan kerja JKK,"persyaratan jaminan kecelakaan kerja JKK
1.Formulir Pengajuan (terlampir)
2.Asli surat pengantar dari kesatuan 
3.Surat keterangan anggota aktif dari Kesatuan
4.Fotocopy Kartu ASABRI
5.Fotocopy SK pertama legalisir kesatuan
6.Fotocopy KTA
7.Fotocopy KTP
8.Fotocopy surat perintah dinas
9.Laporan kejadian kecelakaan kerja diketahui komandan
10.BAP dari kepolisian
11.Resume medis
12.Foto terbaru kondisi ybs
13.Asli kuitansi perawatan (rehabilitasi medik/obat) bermaterai 
(3000 utk <1jt / 6000 utk >1jt)
14.Rincian biaya Pengobatan (obat, tindakan, jasa dokter)
15.Fotocopy Rekening a.n. ybs
16.Lampiran C1 dan C2"
Apa lapor sptb,SPTB Merupakan suatu hak yang harus dilakukan oleh para peserta asabri untuk membuktikan bahwa peserta tersebut masih berhak menerima gaji
apa enrollment,enrollment merupakan perekaman wajah yang dilakukan setiap bulannya untuk membuktikan bahwa peserta tersebut masi berhak menerima gaji
 apa itu asabri mobile,"asabri mobile merupakan salah satu aplikasi yang digunakan para peserta asabri. Aplikasi ini memiliki banyak fungsi seperti Lapor SPTB, e-KTPA (peserta aktif), simulasi premi, berita terkini tentang asabri, dll."
Apa itu Asabri star,asabri star salah satu aplikasi yang digunakan para peserta asabri. Asabri Star digunakan untuk melakukan Autentikasi Digital atau perekaman wajah yang dilakukan setiap 1 bulan sekali.
Dimana melihat blangko persyaratan,"Untuk mengambil dan melihat persyaratan lainnya bisa dilihat pada google drive berikut : 
https://drive.google.com/drive/mobile/folders/11y33SOFWG9vdYYxfEJzyKo0GlBxi_Jth?fbclid=PAAaZ1a2yGgMH0NIvzGBGkFLZdrfzE4KdTpMYt5no7Hhf5WbXOk0udsRai1fg"
Bagaimana cara pengajuan penjaminan perawatan ke ASABRI,"Persyaratan penerbitan surat jaminan perawatan dari ASABRI yaitu:
1. Fotokopi KTA;
2. Fotokopi KTPA;
3. Asli surat pengantar dari kesatuan yang sudah ditandatangani komandan;
4. Asli surat kronologis kejadian kecelakaaan kerja yang sudah ditandatangani komandan; dan
5. Fotokopi surat keterangan masuk rawat dari RS.​"
apa saja syarat untuk mendapatkan KTPA pengganti untuk peserta aktif,"​Untuk saat ini Asabri sudah tidak mencetakkan Kartu Asabri secara fisik. Bagi peserta yang masih aktif silahkan dapat mengakses Kartu Peserta Asabri Elektronik melalui aplikasi Asabri Mobile Apps yang dapat didownload melalui aplikasi Play Store bagi pengguna android dan IOS.
*Bagi peserta pensiun sudah tidak diwajibkan memiliki kartu Asabri.*"
Bagaimana caranya melakukan Enrollment atau pendaftaran ASABRI STAR,"Metode Enrollment atau perekaman wajah dilakukan dengan 3 pilihan metode yang dapat digunakan sesuai kebutuhan. Metode tersebut adalah :
1. Pendaftaran langsung melalui aplikasi mobile yang datang langsung ke Kncab Asabri atau mitra bayar
 2. Pendaftaran langsung melalui aplikasi website.
3. Pendaftaran melalui Whatapp
           "
Bagaimana cara autentikasi pada ASABRI STAR,"Tutorial melakukan autentikasi pada aplikasi ASABRI STAR yaitu :
1. Masukkan Nomor Pensiun penerima pensiun
2. Klik Cari
3. Lihat Status Enrollment pada aplikasi, jika sudah enrollment maka dapat melakukan foto wajah penerima pensiun dengan menggunakan menu Auten kamera depan / Autan kamera belakang pada aplikasi ASABRI STAR. Jika status belum enrollment maka penerima pensiun harus melakukan enrollment / pendaftaran ASABRI STAR terlebih dahulu.
4. Ikuti gerakan Avatar.
5. Apabila berhasil akan muncul notifikasi Autentikasi Sukses."
Bagaimana cara syarat jika gaji tidak diambil beberapa bulan ,"Untuk mengurus hal tersebut harus dilakukan UKP tanpa perubahan data, adapun persyaratan yang harus di lengkapi oleh peserta yaitu:​
1. Formulir Pengajuan;
2. Fotokopi Keputusan Pensiun;
3. Fotokopi e-KTP Pengaju; dan
4. Fotokopi Buku Rekening Tabungan"
Apa facebook asabri,facebook asabri adalah asabri_official
Apa youtube asabri,youtube asabri adalah @asabriofficial5386
Apa instagram asabri,instagram asabri adalah @asabri_official
Apa twiteer asabri,twitter asabri adalah @asabri_official
Apa simulasi premi,Simulasi premi adalah simulasi nilai manfaat selama menjadi peserta Asabri
Apa itu maksud SBP ( Santunan Biaya Pemakaman),"Manfaat Santunan Biaya Pemakaman Istri/ Suami (SBPI/S). Ditetapkan sebesar Rp 3.000.000,00 (tiga juta rupiah). Hak SBPI/S diberikan apabila istri/suami peserta dinikahi sebelum peserta pensiun serta telah dan masih masuk dalam tunjangan keluarga."
Apa itu maksud UDW (Uang Duka Wafat,Uang Duka Wafat (UDW) diberikan sebesar tiga kali gaji pokok terakhir.Untuk informasi lebih lanjut dapat langsung menghubungi call center Asabri atau langsung ke kantor Asabri
